GPA,SAT,GRADE,ACT,MUST ATTEND INTO,RESIDENTIAL ADDRESS,INCOME,ETHNICITY,RACE,NATIONALITY,AGE,GENDER,RELIGION,ABILITY,DISABILITY,MAJOR,DEADLINE,MUST STUDY IN,TITLE,STATE,LINK
3.0,-,-,-,-,-,-,-,-,Nebraska natives,-,-,-,-,-,-,-,-,Nebraskaland Scholarship,Nebraska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nebraska/nebraskaland-scholarship
2.5,-,junior or senior,-,a private college in Nebraska,-,-,-,-,-,-,-,-,-,-,junior or senior,-,-,Norman and Ruth Good Educational Scholarships,Nebraska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nebraska/norman-and-ruth-good-educational-scholarships
2.5,-,-,-,a college or university in Union Pacific's service area,-,-,-,-,-,-,-,-,-,-,-,-,-,Union Pacific William E. Wimmer Scholarship,Nebraska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nebraska/union-pacific-william-e-wimmer-scholarship
2.5,-,-,-,a college or university in Union Pacific’s service area,-,-,females,females,-,-,F,-,-,-,-,-,-,William E. and Barbara I. Van Trump Scholarship,Nebraska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nebraska/william-e-and-barbara-i-van-trump-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/cbc-spouses-performing-arts-scholarship
3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governor Guinn Millennium Scholarship Program,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/governor-guinn-millennium-scholarship-program
3.0,-,-,-,-,-,-,Korean heritage,-,Korean Nationals,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation - Western Regional Chapter,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/korean-american-scholarship-foundation-western-regional-chapter
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Reno Rodeo Western Arts & Culture Scholarship,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/reno-rodeo-western-arts-and-culture-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Royal Business Bank Scholarship,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/royal-business-bank-scholarship
2.5,-,-,-,a college or university in Union Pacific's service area,-,-,-,-,-,-,-,-,-,-,-,-,-,Union Pacific William E. Wimmer Scholarship,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/union-pacific-william-e-wimmer-scholarship
2.5,-,-,-,a college or university in Union Pacific’s service area,-,-,females,females,-,-,F,-,-,-,-,-,-,William E. and Barbara I. Van Trump Scholarship,Nevada,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/nevada/william-e-and-barbara-i-van-trump-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,New Hampshire,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-hampshire/cbc-spouses-performing-arts-scholarship
3.0,-,-,-,-,-,-,Korean,-,-,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Northeastern Regional Chapter,New Hampshire,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-hampshire/korean-american-scholarship-foundation-northeastern-regional-chapter
3.0,-,-,-,-,-,-,female,female,-,25,F,female,-,-,-,-,-,AAUW Lew Williams Scholarship and Leila Sulkes Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/aauw-lew-williams-scholarship-and-leila-sulkes-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Actuarial Diversity Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/actuarial-diversity-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/cbc-spouses-performing-arts-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Visual Arts Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/cbc-spouses-visual-arts-scholarship
3.0,-,-,-,-,New Jersey,-,-,-,New Jersey,-,-,-,-,-,-,-,-,Dr. Benjamin C Blackburn Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/dr-benjamin-c-blackburn-scholarship
3.0,-,-,-,a college/university in the area,-,-,Asian/Asian American,Asian/Asian American,-,-,-,-,-,-,-,-,-,Future Leaders Scholarship Program by NAAAP Philadelphia,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/future-leaders-scholarship-program-by-naaap-philadelphia
3.0,-,-,-,-,-,-,Korean,-,-,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Northeastern Regional Chapter,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/korean-american-scholarship-foundation-northeastern-regional-chapter
3.0,-,-,-,Greater Philadelphia accredited college/university,-,-,Asian/Asian American,Asian/Asian American,Asian/Asian American,-,-,-,-,-,-,-,Greater Philadelphia high school,NAAAP Philadelphia Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/naaap-philadelphia-scholarship
3.2,-,junior year or in their senior year,-,a NJ college or university,New Jersey,-,-,-,-,-,-,-,-,-,-,-,-,NJ Society of CPAs One-Year Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/nj-society-of-cpas-one-year-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Norfolk Southern Foundation Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/norfolk-southern-foundation-scholarship
3.0,-,-,-,-,"Delaware, New Jersey or Pennsylvania",-,-,-,-,-,-,-,-,-,-,-,-,"Red, White & Blue Military and Law Enforcement Scholarship",New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/red-white-and-blue-military-and-law-enforcement-scholarship
3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rutgers Presidential Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/rutgers-presidential-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Governor's Urban Scholarship Program,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/the-governors-urban-scholarship-program
2.5,-,-,-,-,-,-,-,-,US,-,-,-,-,-,-,-,-,UNCF PNC Foundation Scholarship,New Jersey,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-jersey/uncf-pnc-foundation-scholarship
3.0,-,"Junior, Senior, or Graduate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ab Irvine Scholarship Program,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/ab-irvine-scholarship-program
3.0,-,junior or senior,-,-,New Mexico,-,-,-,-,-,-,-,-,-,-,-,-,ACF American Advertising Federation-NM Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/acf-american-advertising-federation-nm-scholarship
2.0,-,senior in high school,-,-,northwest New Mexico,-,-,-,northwest New Mexico,-,-,-,-,-,-,-,-,ACF Davis-Kozoll Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/acf-davis-kozoll-scholarship
3.0,-,2-year or 4-year,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ACF Kiwanis Club of Albuquerque Scholarship Program,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/acf-kiwanis-club-of-albuquerque-scholarship-program
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/cbc-spouses-performing-arts-scholarship
3.0,-,-,-,-,-,-,-,women,-,18,F,-,-,-,-,-,-,Cheryl L. Wase Memorial Scholarship for the Study of Archaeology,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/cheryl-l-wase-memorial-scholarship-for-the-study-of-archaeology
3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Larry Morris Memorial Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/larry-morris-memorial-scholarship
3.0,1130,-,23,New Mexico Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,New Mexico Tech Freshmen Copper Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/new-mexico-tech-freshmen-copper-scholarship
3.5,-,-,-,New Mexico Tech,-,-,-,-,U.S.,-,-,-,-,-,-,-,-,New Mexico Tech Freshmen Presidential Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/new-mexico-tech-freshmen-presidential-scholarship
3.25,-,-,-,New Mexico Tech,-,-,-,-,U.S.,-,-,-,-,-,-,-,-,New Mexico Tech Freshmen Silver Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/new-mexico-tech-freshmen-silver-scholarship
3.0,-,-,-,New Mexico Tech Regents,-,-,-,-,-,-,-,-,-,-,-,2022-04-01,-,New Mexico Tech Regents Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/new-mexico-tech-regents-scholarship
3.5,-,-,-,New Mexico Tech,-,-,-,-,-,-,-,-,-,-,-,-,New Mexico Tech,New Mexico Tech Transfer Excel Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/new-mexico-tech-transfer-excel-scholarship
3.25,-,-,-,New Mexico Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,New Mexico Tech Transfer Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/new-mexico-tech-transfer-scholarship
2.5,-,high school junior or senior,-,-,New Mexico,-,-,-,New Mexico,-,-,-,-,-,-,-,-,NMOST Advancing Young Women in STEM Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/nmost-advancing-young-women-in-stem-scholarship
2.5,-,-,-,a college or university in Union Pacific's service area,-,-,-,-,-,-,-,-,-,-,-,-,-,Union Pacific William E. Wimmer Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/union-pacific-william-e-wimmer-scholarship
3.0,990,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Western Undergrauate Exchange (WUE),New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/western-undergrauate-exchange-wue
2.5,-,-,-,a college or university in Union Pacific’s service area,-,-,females,females,-,-,F,-,-,-,-,-,-,William E. and Barbara I. Van Trump Scholarship,New Mexico,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-mexico/william-e-and-barbara-i-van-trump-scholarship
3.25,-,-,-,Alfred State,-,-,-,-,-,-,-,-,-,-,-,2022-05-01,-,Alfred State Transfer Student Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/alfred-state-transfer-student-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/cbc-spouses-performing-arts-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Visual Arts Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/cbc-spouses-visual-arts-scholarship
2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,First Responders Children's Foundation General Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/first-responders-childrens-foundation-general-scholarship
3.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,International Merit Scholarships - Transfer Students,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/international-merit-scholarships-transfer-students
3.2,-,-,-,-,"NY, NJ, CT, or PA",-,-,ethnically diverse,U.S.,-,-,-,-,-,-,-,-,Interpublic Group Scholarship and Internship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/interpublic-group-scholarship-and-internship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M.A. in labor studies,-,-,Joseph S. Murphy Scholarship for Diversity in Labor,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/joseph-s-murphy-scholarship-for-diversity-in-labor
3.2,-,junior/senior in college,-,-,"NY, NJ, CT, or PA",-,-,-,US,-,-,-,-,-,-,-,-,Judy Corman Memorial Scholarship and Internship from Scholastic,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/judy-corman-memorial-scholarship-and-internship-from-scholastic
3.0,-,-,-,-,-,-,Korean,-,-,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Northeastern Regional Chapter,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/korean-american-scholarship-foundation-northeastern-regional-chapter
3.25,-,-,-,New York City nonprofit college or university,-,-,-,-,-,-,-,-,-,-,-,-,-,Levin-Goffe Scholarship Fund,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/levin-goffe-scholarship-fund
2.5,-,-,-,Clarkson University,-,-,-,-,-,-,-,-,-,-,-,-,Clarkson University,New York Central Railroad Memorial Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/new-york-central-railroad-memorial-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,New York State Senate Undergraduate Program,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/new-york-state-senate-undergraduate-program
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Norfolk Southern Foundation Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/norfolk-southern-foundation-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Royal Business Bank Scholarship,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/royal-business-bank-scholarship
3.5,-,-,-,college cooperative education at one of our 10 Partner Institutions,-,-,-,-,-,-,-,-,-,-,Must have a 3.5 GPA,-,-,WACE National Co-op Scholarship Program,New York,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/new-york/wace-national-co-op-scholarship-program
3.5,-,-,-,-,-,-,people of color,"people of color.""",American,-,-,-,-,-,"engineering, computer science, the sciences, accounting, finance or business administration",-,-,Advocates for African Americans Carolinas Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/advocates-for-african-americans-carolinas-scholarship
2.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aubrey Lee Brooks Scholarships,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/aubrey-lee-brooks-scholarships
2.5,-,high school senior,-,Historically Black College or University,-,-,-,-,-,-,-,-,-,-,"Criminal Justice, Journalism or Nursing or Healthcare",-,-,"BECA, Inc. Edna R. Anthony Memorial Scholarship",North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/beca-inc-edna-r-anthony-memorial-scholarship
3.0,-,Junior or Senior,-,-,-,-,-,-,-,-,-,-,-,-,business,-,-,CALG Scholarship Program,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/calg-scholarship-program
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Carolina Panthers Graduate Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/carolina-panthers-graduate-scholarship
3.0,-,junior year,-,-,-,-,U.S. citizens or permanent residents,-,U.S.,-,-,-,-,-,-,-,-,Cary Woman's Club College Scholarship for High School Seniors,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/cary-womans-club-college-scholarship-for-high-school-seniors
4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-11-01,-,Catawba College's McCorkle Scholarships,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/catawba-colleges-mccorkle-scholarships
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/cbc-spouses-performing-arts-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Visual Arts Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/cbc-spouses-visual-arts-scholarship
3.0,-,junior or senior years,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Charlotte Pride Scholarships,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/charlotte-pride-scholarships
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fayetteville Technical Community College,"Colonel Frederick W. Best, Jr., USA & Chief Petty Officer Frederick W. Best, Sr., USN Scholarship",North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/colonel-frederick-w-best-jrusa-and-chief-petty-officer-frederick-w-best-srusn-scholarship
3.0,-,undergraduate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JWU International Presidential Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/jwu-international-presidential-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Eastern Regional Chapter,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/korean-american-scholarship-foundation-eastern-regional-chapter
2.8,-,junior or senior,-,any NC institution,-,-,-,Hispanic or Latinx/e,-,-,-,-,-,-,-,-,-,Latinx LIFE Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/latinx-life-scholarship
3.75,1250,-,25,NC State,-,-,-,-,-,-,-,-,-,-,-,-,-,NC State College of Natural Resources Forestry and Environmental Resources Scholarships,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/nc-state-college-of-natural-resources-forestry-and-environmental-resources-scholarships
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Norfolk Southern Foundation Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/norfolk-southern-foundation-scholarship
2.5,-,-,-,North Carolina College or University,North Carolina,-,-,-,-,-,-,-,-,-,-,-,-,North Carolina Railroad Company Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/north-carolina-railroad-company-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,North Carolina Space Grant Undergraduate Research Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/north-carolina-space-grant-undergraduate-research-scholarship
2.8,-,-,-,-,"Forsyth County, NC",-,-,-,U.S.,18,-,-,-,-,-,-,-,Professional Women of Winston-Salem Scholarship Fund,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/professional-women-of-winston-salem-scholarship-fund
2.5,-,-,-,-,-,-,-,-,-,-,F,-,-,-,-,-,-,Southern Automotive Womens Forum Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/southern-automotive-womens-forum-scholarship
3.0,-,college junior or senior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Spirit Square Center for Arts and Education Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/spirit-square-center-for-arts-and-education-scholarship
2.5,-,"third, fourth or fifth-year",-,-,"Pennsylvania, Delaware, or Southern New Jersey",-,-,-,-,-,-,-,-,-,undergraduate degree,-,-,The Luther and Mary Ida Vandross Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/the-luther-and-mary-ida-vandross-scholarship
3.5,-,-,-,North Carolina State University’s College of Engineering,-,-,-,-,-,-,-,-,-,-,-,-,-,Tien Bui Memorial Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/tien-bui-memorial-scholarship
2.5,-,-,-,a UNCF member college or university,-,-,-,-,US,-,-,-,-,-,-,-,-,UNCF General Scholarship,North Carolina,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-carolina/uncf-general-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-06,-,Alliance Pipeline Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/alliance-pipeline-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/cbc-spouses-performing-arts-scholarship
3.25,-,sophomore or above,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hazel McBride Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/hazel-mcbride-scholarship
3.00,-,junior or senior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"John P. Windish, Jr. Memorial Scholarship",North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/john-p-windish-jr-memorial-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Midwestern Regional Chapter,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/korean-american-scholarship-foundation-midwestern-regional-chapter
3.0,-,-,-,North Dakota tribal college,-,-,-,-,-,-,-,-,-,-,-,-,-,NDSGC American Indian Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/ndsgc-american-indian-scholarship
3.5,-,-,-,North Dakota State University,-,-,US citizens,-,US,-,F,-,-,-,-,-,-,NDSGC Lillian Goettler Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/ndsgc-lillian-goettler-scholarship
3.5,-,Undergraduate,-,University of North Dakota,-,-,US citizens,US citizens,U.S.,-,F,-,-,-,-,-,University of North Dakota,NDSGC Pearl I. Young Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/ndsgc-pearl-i-young-scholarship
3.0,-,two- and four-year,-,-,-,-,US citizen,a US citizen,US,-,-,-,-,-,-,-,-,North Dakota Space Grant Consortium Undergraduate Scholarship,North Dakota,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/north-dakota/north-dakota-space-grant-consortium-undergraduate-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Northern Mariana Islands,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/northern-mariana-islands/cbc-spouses-performing-arts-scholarship
3.0,-,two- or four-year,-,-,-,-,African-American or Hispanic,African-American or Hispanic,-,-,-,Catholic,-,-,-,-,-,ALCOA Fund Scholarship,Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/alcoa-fund-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Arnold W. Fritz Scholarship,Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/arnold-w-fritz-scholarship
2.5,-,-,-,-,Ohio or California,-,U.S. citizens,-,U.S.,18,-,-,-,-,-,-,-,AWS Donald F Hastings Scholarship,Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/aws-donald-f-hastings-scholarship
2.5,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,AWS William B. Howell Memorial Scholarship,Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/aws-william-b-howell-memorial-scholarship
2.5,-,high school senior,-,Historically Black College or University,-,-,-,-,-,-,-,-,-,-,"Criminal Justice, Journalism or Nursing or Healthcare",-,-,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/beca-inc-edna-r-anthony-memorial-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/cbc-spouses-performing-arts-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Visual Arts Scholarship,Ohio,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/ohio/cbc-spouses-visual-arts-scholarship
